Reaction	EC-Number	In-Pathway	Substrates
S-adenosyl-L-methionine + a thiopurine  ->  S-adenosyl-L-homocysteine + a thiopurine S-methylether + H+	EC-2.1.1.67		a thiopurine // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // a thiopurine S-methylether // H<SUP>+</SUP>
tRNAasp + L-aspartate + ATP  ->  an L-aspartyl-[tRNAasp] + AMP + diphosphate	EC-6.1.1.23 // EC-6.1.1.12	tRNA charging	ATP // L-aspartate // tRNA<SUP>asp</SUP> // an L-aspartyl-[tRNA<SUP>asp</SUP>] // diphosphate // AMP
3-oxo-meristoyl-[acyl-carrier protein] reductase	EC-1.1.1.100	myristate biosynthesis (mitochondria)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxytetradecanoyl-[acp] // a 3-oxotetradecanoyl-[acp] // NADPH // H<SUP>+</SUP>
acetyl-CoA + a [carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine  ->  malonyl-CoA + a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine	EC-2.1.3.15	biotin-carboxyl carrier protein assembly	a [carboxyl-carrier protein dimer]-<i>N</i><sup>6</sup>-carboxybiotinyl-L-lysine // acetyl-CoA // malonyl-CoA // a [biotin carboxyl-carrier-protein dimer]-<i>N</i><sup>6</sup>-biotinyl-L-lysine
a long-chain 2-methyl fatty acyl-CoA(n-3) + propanoyl-CoA  <-  a long-chain 2-methyl-3-oxoacyl-CoA + coenzyme A	EC-2.3.1.16	2-methyl-branched fatty acid &beta;-oxidation	propanoyl-CoA // a long-chain 2-methyl fatty acyl-CoA // a long-chain 2-methyl-3-oxoacyl-CoA // coenzyme A
methyl parathion + H2O  ->  4-nitrophenol + dimethylthiophosphate + 2 H+	EC-3.1.8.1		H<sub>2</sub>O // methyl parathion // 4-nitrophenol // dimethylthiophosphate // H<SUP>+</SUP>
a lactotriaosylceramide + UDP-alpha-D-galactose  ->  a lactotetraosylceramide + UDP + H+	EC-2.4.1.86	lacto-series glycosphingolipids biosynthesis	UDP-&alpha;-D-galactose // a lactotriaosylceramide // a lactotetraosylceramide // UDP // H<SUP>+</SUP>
a (3R)-3-hydroxyhexanoyl-[acp domain within a fatty acid synthase]  ->  a (2E)-hex-2-enoyl-[acp domain within a fatty acid synthase] + H2O	EC-2.3.1.85 // EC-2.3.1.86	palmitate biosynthesis (cytoplasm)	a (3<i>R</i>)-3-hydroxyhexanoyl-[acp domain within a fatty acid synthase] // a (2<i>E</i>)-hex-2-enoyl-[acp domain within a fatty acid synthase] // H<sub>2</sub>O
ATP + an [RNA 3'-phosphate cyclase]-L-histidine  ->  an [RNA 3'-phosphate cyclase]-Ntau-(5'-adenylyl)-L-histidine + diphosphate		an [RNA]-3'-ribonucleoside-3'-phosphate + ATP  ->  an [RNA]-3'-ribonucleoside-2',3'-cyclophosphate + AMP + diphosphate	an [RNA 3'-phosphate cyclase]-L-histidine // ATP // an [RNA 3'-phosphate cyclase]-<i>N</i><sup>&tau;</sup>-(5'-adenylyl)-L-histidine // diphosphate
a (3R)-3-hydroxytetradecanoyl-[acp domain within a fatty acid synthase] + NADP+  <-  a 3-oxotetradecanoyl-[acp domain within a fatty acid synthase] + NADPH + H+	EC-2.3.1.85 // EC-2.3.1.86	palmitate biosynthesis (cytoplasm)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxytetradecanoyl-[acp domain within a fatty acid synthase] // a 3-oxotetradecanoyl-[acp domain within a fatty acid synthase] // NADPH // H<SUP>+</SUP>
cytidine 2',3'-cyclic monophosphate + H2O  ->  cytidine 2'-monophosphate + H+	EC-3.1.4.37		H<sub>2</sub>O // cytidine 2',3'-cyclic monophosphate // H<SUP>+</SUP> // cytidine 2'-monophosphate
a dolichyl beta-D-mannosyl phosphate + a [protein]-(L-serine/L-threonine)  ->  a dolichyl phosphate + a 3-O-(alpha-D-mannosyl)-(Ser/Thr)-[protein] + H+	EC-2.4.1.109	protein <I>O</i>-mannosylation II (mammals, core M1 and core M2) // protein <I>O</i>-mannosylation III (mammals, core M3)	a [protein]-(L-serine/L-threonine) // a dolichyl &beta;-D-mannosyl phosphate // a dolichyl phosphate // a 3-<i>O</i>-(&alpha;-D-mannosyl)-(Ser/Thr)-[protein] // H<SUP>+</SUP>
ATP + a [MAP kinase kinase]-(L-serine/L-threonine)  ->  ADP + a [MAP kinase kinase] (L-serine/L-threonine) phosphate + H+	EC-2.7.11.25		a [MAP kinase kinase]-(L-serine/L-threonine) // ATP // ADP // a [MAP kinase kinase] (L-serine/L-threonine) phosphate // H<SUP>+</SUP>
D-glyceraldehyde + ATP  ->  D-glyceraldehyde 3-phosphate + ADP + H+	EC-2.7.1.28	sucrose degradation	ATP // D-glyceraldehyde // H<SUP>+</SUP> // D-glyceraldehyde 3-phosphate // ADP
L-valine + 2-oxoglutarate  <-->  3-methyl-2-oxobutanoate + L-glutamate	EC-2.6.1.42	L-valine degradation	2-oxoglutarate // L-valine // 3-methyl-2-oxobutanoate // L-glutamate
11beta-hydroxy-5alpha-androstanedione + NADP+  ->  11-oxo-5alpha-androstanedione + NADPH + H+	EC-1.1.1.146	11-oxyandrogens biosynthesis	NADP<sup>+</sup> // 11&beta;-hydroxy-5&alpha;-androstanedione // 11-oxo-5&alpha;-androstanedione // NADPH // H<SUP>+</SUP>
a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine + hydrogencarbonate + ATP  ->  a [carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine + ADP + phosphate + H+	EC-6.3.4.14	biotin-carboxyl carrier protein assembly	ATP // hydrogencarbonate // a [biotin carboxyl-carrier-protein dimer]-<i>N</i><sup>6</sup>-biotinyl-L-lysine // phosphate // a [carboxyl-carrier protein dimer]-<i>N</i><sup>6</sup>-carboxybiotinyl-L-lysine // ADP // H<SUP>+</SUP>
S-adenosyl-L-methionine + all trans-decaprenyl-2-methoxy-6-1,4-benzoquinol  ->  6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol + S-adenosyl-L-homocysteine + H+	EC-2.1.1.201	ubiquinol-10 biosynthesis	<i>all trans</i>-decaprenyl-2-methoxy-6-1,4-benzoquinol // <i>S</i>-adenosyl-L-methionine // H<SUP>+</SUP> // 6-methoxy-3-methyl-2-<i>all-trans</i>-decaprenyl-1,4-benzoquinol // <i>S</i>-adenosyl-L-homocysteine
2-oxoglutarate + (S)-3-amino-2-methylpropanoate  <-->  L-glutamate + (S)-methylmalonate-semialdehyde	EC-2.6.1.22	L-valine degradation	(S)-3-amino-2-methylpropanoate // 2-oxoglutarate // L-glutamate // (<i>S</i>)-methylmalonate-semialdehyde
an apo acyl-carrier protein + coenzyme A  ->  adenosine 3',5'-bisphosphate + a holo acyl-carrier protein + H+	EC-2.7.8.7	acyl carrier protein activation	coenzyme A // all <i>apo</i>-acyl carrier proteins // adenosine 3',5'-bisphosphate // all <i>holo</i>-acyl carrier proteins // H<SUP>+</SUP>
GDP-beta-L-fucose + an A type 1 histo-blood group antigen  ->  an N-acetyl-alpha-D-galactosaminyl-(1,3)[alpha-L-fucosyl-(1,2)]-beta-D-galactosyl-(1,3)-[alpha-L-fucosyl-(1,4)]-N-acetyl-beta-D-glucosamine-(1->protein] + GDP + H+	EC-2.4.1.65	ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide	an A type 1 histo-blood group antigen // GDP-&beta;-L-fucose // an <i>N</i>-acetyl-&alpha;-D-galactosaminyl-(1,3)[&alpha;-L-fucosyl-(1,2)]-&beta;-D-galactosyl-(1,3)-[&alpha;-L-fucosyl-(1,4)]-<i>N</i>-acetyl-&beta;-D-glucosamine-(1&rarr;protein] // GDP // H<SUP>+</SUP>
UDP + H2O  ->  UMP + phosphate + H+	EC-3.6.1.6	UTP and CTP dephosphorylation I // UTP + 2 H2O  =  UMP + 2 phosphate + 2 H+	H<sub>2</sub>O // UDP // phosphate // UMP // H<SUP>+</SUP>
(2E,8Z,11Z,14Z)-icosatetraenoyl-CoA + NADH + H+  ->  dihomo gamma-linolenoyl-CoA + NAD+	EC-1.3.1.93	arachidonate biosynthesis III (6-desaturase, mammals)	H<SUP>+</SUP> // NADH // (2E,8Z,11Z,14Z)-icosatetraenoyl-CoA // dihomo &gamma;-linolenoyl-CoA // NAD<sup>+</sup>
a [protein]-L-histidine + 2,3-diphospho-D-glycerate  <-->  a [protein]-Npi-phospho-L-histidine + 2-or-3 phospho-D-glycerate		2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	2,3-diphospho-D-glycerate // a [protein]-L-histidine // a [protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // 2-or-3 phospho-D-glycerate
UDP-N-acetyl-alpha-D-glucosamine  =  UDP-N-acetyl-alpha-D-mannosamine	EC-5.1.3.14		UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // UDP-<i>N</i>-acetyl-&alpha;-D-mannosamine
alpha-hydroxyheme + dioxygen + H+  ->  verdoheme + carbon monoxide + H2O		protoheme + 3 a reduced [NADPH-hemoprotein reductase] + 3 dioxygen + 2 H+  ->  (Z,Z)-biliverdin-IX alpha + Fe2+ + carbon monoxide + 3 an oxidized [NADPH-hemoprotein reductase] + 3 H2O	H<SUP>+</SUP> // dioxygen // &alpha;-hydroxyheme // verdoheme // carbon monoxide // H<sub>2</sub>O
an N-acylsphingosine + H2O  ->  sphingosine + a fatty acid	EC-3.5.1.23	sphingosine and sphingosine-1-phosphate metabolism	H<sub>2</sub>O // an <i>N</i>-acylsphingosine // sphingosine // a fatty acid
prostaglandin C2  ->  prostaglandin B2	EC-5.3.3	C20 prostanoid biosynthesis	prostaglandin C<sub>2</sub> // prostaglandin B<sub>2</sub>
PCTR1 + a proteinogenic amino acid  ->  an alpha-(gamma-L-glutamyl)-L-amino acid + PCTR2	EC-2.3.2.2	peptido-conjugates in tissue regeneration biosynthesis	a proteinogenic amino acid // PCTR1 // an &alpha;-(&gamma;-L-glutamyl)-L-amino acid // PCTR2
a primary amine + H2O + dioxygen + H+  ->  an aldehyde + ammonium + hydrogen peroxide	EC-1.4.3.21		H<SUP>+</SUP> // dioxygen // H<sub>2</sub>O // a primary amine // an aldehyde // ammonium // hydrogen peroxide
ATP + a [myosin light-chain] L-serine  =  a [myosin light-chain]-O-phospho-L-serine + ADP + H+	EC-2.7.11.18		a [myosin light-chain] L-serine // ATP // a [myosin light-chain]-<i>O</i>-phospho-L-serine // ADP // H<SUP>+</SUP>
CMP-N-acetyl-beta-neuraminate + a ganglioside GM2  ->  a ganglioside GD2 + CMP + H+	EC-2.4.3.8		a ganglioside GM2 // CMP-<i>N</i>-acetyl-&beta;-neuraminate // a ganglioside GD2 // CMP // H<SUP>+</SUP>
UDP-alpha-D-galactose + N-acetyl-D-glucosamine  ->  beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine + UDP + H+	EC-2.4.1.90		<i>N</i>-acetyl-D-glucosamine // UDP-&alpha;-D-galactose // H<SUP>+</SUP> // &beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-D-glucosamine // UDP
cob(I)alamin-[corrinoid adenosyltranferase] + ATP + H+  ->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate		2 ATP + 2 cob(II)alamin-[CblC-CblD complex] + a [reduced flavoprotein] + 2 methylmalonyl-CoA mutase + 2 H+  ->  2 adenosylcobalamin-[methylmalonyl-CoA mutase] + 2 triphosphate + an [oxidized flavoprotein] + 2 a [cyanocobalamin reductase CblC] + 2 a [cobalamin trafficking protein CblD] // cobalamin salvage (eukaryotic)	H<SUP>+</SUP> // ATP // cob(I)alamin-[corrinoid adenosyltranferase] // adenosylcob(III)alamin-[corrinoid adenosyltranferase] // triphosphate
a (3R)-3-hydroxyoctanoyl-[acp domain within a fatty acid synthase] + NADP+  <-  a 3-oxooctanoyl-[acp domain within a fatty acid synthase] + NADPH + H+	EC-2.3.1.85 // EC-2.3.1.86	palmitate biosynthesis (cytoplasm)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxyoctanoyl-[acp domain within a fatty acid synthase] // a 3-oxooctanoyl-[acp domain within a fatty acid synthase] // NADPH // H<SUP>+</SUP>
dihydrogen phosphate  <-->  phosphate + H+			dihydrogen phosphate // phosphate // H<SUP>+</SUP>
a myristoyl-[acp domain within a fatty acid synthase] + malonyl-CoA + H+  ->  a 3-oxohexadecanoyl-[acp domain within a fatty acid synthase] + CO2 + coenzyme A	EC-2.3.1.85 // EC-2.3.1.86	palmitate biosynthesis (cytoplasm)	H<SUP>+</SUP> // malonyl-CoA // a myristoyl-[acp domain within a fatty acid synthase] // a 3-oxohexadecanoyl-[acp domain within a fatty acid synthase] // CO<SUB>2</SUB> // coenzyme A
(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl CoA + NAD+  ->  3alpha,7alpha,12alpha-trihydroxy-24-oxo-5-beta-cholestanoyl CoA + NADH + H+	EC-1.1.1	bile acid biosynthesis, neutral pathway	NAD<sup>+</sup> // (24<i>R</i>,25<i>R</i>)-3&alpha;,7&alpha;,12&alpha;,24-tetrahydroxy-5&beta;-cholestanoyl CoA // H<SUP>+</SUP> // 3&alpha;,7&alpha;,12&alpha;-trihydroxy-24-oxo-5-&beta;-cholestanoyl CoA // NADH
2 an oxidized c-type cytochrome[out] + a ubiquinol[membrane]  ->  2 a reduced c-type cytochrome[out] + a ubiquinone[membrane] + 2 H+[out]	EC-7.1.1.8	aerobic respiration I (cytochrome c)	an oxidized <i>c</i>-type cytochrome // a ubiquinol // H<SUP>+</SUP> // a ubiquinone // a reduced <i>c</i>-type cytochrome
UDP-alpha-D-glucuronate + a 3-O-[beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl]-L-seryl-[protein]  ->  UDP + a 3-O-[beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl]-[core protein] + H+	EC-2.4.1.135	glycosaminoglycan-protein linkage region biosynthesis	a 3-<i>O</i>-[&beta;-D-galactosyl-(1&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-&beta;-D-xylosyl]-L-seryl-[protein] // UDP-&alpha;-D-glucuronate // UDP // a 3-<i>O</i>-[&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-[core protein] // H<SUP>+</SUP>
selenide + ATP + H2O  ->  selenophosphate + AMP + phosphate	EC-2.7.9.3	L-selenocysteine biosynthesis	ATP // selenide // H<sub>2</sub>O // selenophosphate // phosphate // AMP
UDP-N-acetyl-alpha-D-glucosamine + a neolactohexaosylceramide  ->  a neolactoheptaosylceramide + UDP + H+	EC-2.4.1.149	neolacto-series glycosphingolipids biosynthesis	a neolactohexaosylceramide // UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // a neolactoheptaosylceramide // UDP // H<SUP>+</SUP>
a [histone]-N6-acetyl-L-lysine + H2O  ->  a [histone]-L-lysine + acetate	EC-3.5.1.98		H<sub>2</sub>O // a [histone]-<i>N</i><sup>6</sup>-acetyl-L-lysine // a [histone]-L-lysine // acetate
a (3E,5Z)-alka-3,5-dienoyl-CoA  =  a (2E,4E)-2,4-dienoyl-CoA	EC-5.3.3.21		a (3E,5Z)-alka-3,5-dienoyl-CoA // a (2E,4E)-2,4-dienoyl-CoA
a nucleoside diphosphate + ATP  =  a nucleoside triphosphate + ADP	EC-2.7.4.6		ATP // a nucleoside diphosphate // a nucleoside triphosphate // ADP
4-methyl-2-oxopentanoate dehydrogenase (lipoamide)	EC-1.2.4.4	4-methyl-2-oxopentanoate dehydrogenase (acylating)	H<SUP>+</SUP> // a [BCAA dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // 4-methyl-2-oxopentanoate // a [<i>apo</i> BCAA dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-[3-methylbutanoyl]dihydrolipoyl-L-lysine // CO<SUB>2</SUB>
(R)-lactaldehyde + NAD+  <-  methylglyoxal + NADH + H+	EC-1.1.1.78	methylglyoxal degradation VI	(R)-lactaldehyde // NAD<sup>+</sup> // H<SUP>+</SUP> // NADH // methylglyoxal
UDP-N-acetyl-alpha-D-glucosamine + an N-acetyl-beta-D-glucosaminyl-(1,3)-beta-D-galactosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-R  ->  a beta-D-GlcNAc-(1->3)-[beta-D-GlcNAc-(1->6)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-R + UDP + H+	EC-2.4.1.386	i antigen and I antigen biosynthesis	an <i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,3)-&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R // UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // a &beta;-D-GlcNAc-(1&rarr;3)-[&beta;-D-GlcNAc-(1&rarr;6)]-&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-R // UDP // H<SUP>+</SUP>
chenodeoxycholoyl-CoA + propanoyl-CoA  <-  3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl CoA + coenzyme A	EC-2.3.1.176	bile acid biosynthesis, neutral pathway	propanoyl-CoA // chenodeoxycholoyl-CoA // 3&alpha;,7&alpha;-dihydroxy-24-oxo-5&beta;-cholestanoyl CoA // coenzyme A
an 11-cis-retinal-[interphotoreceptor retinoid-binding protein] + an apo-rhodopsin  ->  a rhodopsin + an interphotoreceptor retinoid-binding protein + H2O + H+		the visual cycle I (vertebrates)	an <i>apo</i>-rhodopsin // an 11-<i>cis</i>-retinal-[interphotoreceptor retinoid-binding protein] // a rhodopsin // an interphotoreceptor retinoid-binding protein // H<sub>2</sub>O // H<SUP>+</SUP>
(3R,11Z,14Z,17Z)-3-hydroxyicosatrienoyl-CoA  ->  (2E,11Z,14Z,17Z)-icosatetraenoyl-CoA + H2O	EC-4.2.1.134	icosapentaenoate biosynthesis III (8-desaturase, mammals)	(3R,11Z,14Z,17Z)-3-hydroxyicosatrienoyl-CoA // (2E,11Z,14Z,17Z)-icosatetraenoyl-CoA // H<sub>2</sub>O
prostaglandin I2 + NADP+  <-->  15-dehydro-prostaglandin I2 + NADPH + H+	EC-1.1.1.231	C20 prostanoid biosynthesis	prostaglandin I<sub>2</sub> // NADP<sup>+</sup> // H<SUP>+</SUP> // NADPH // 15-dehydro-prostaglandin I<sub>2</sub>
a [protein]-Npi-phospho-L-histidine + 2-or-3 phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate		2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	2-or-3 phospho-D-glycerate // a [protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // a [protein]-L-histidine // 2,3-diphospho-D-glycerate
a 2-acetyl-1-alkyl-sn-glycero-3-phosphocholine + H2O  ->  acetate + a 1-alkyl-2-lyso-sn-glycero-3-phosphocholine + H+	EC-3.1.1.47		a 2-acetyl-1-alkyl-<i>sn</i>-glycero-3-phosphocholine // H<sub>2</sub>O // acetate // a 1-alkyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine // H<SUP>+</SUP>
hydroxyferroheme i  ->  ferroheme a + H2O		ferroheme o + 2 an oxidized electron carrier + H2O  ->  ferroheme a + 2 a reduced two electron carrier // heme <i>a</i> biosynthesis	hydroxyferroheme <i>i</i> // ferroheme <i>a</i> // H<sub>2</sub>O
a ubiquitin-related modifier 1 + ATP + H+  ->  a carboxy-adenylated-[ubiquitin-related modifier 1] + diphosphate	EC-2.7.7	tRNA-uridine 2-thiolation (cytoplasmic)	H<SUP>+</SUP> // ATP // a ubiquitin-related modifier 1 // a carboxy-adenylated-[ubiquitin-related modifier 1] // diphosphate
a [biotin carboxyl-carrier protein]-L-lysine + biotinyl-5'-adenylate  ->  a [biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine + AMP + 2 H+		a [biotin carboxyl-carrier protein]-L-lysine + biotin + ATP  ->  AMP + a [biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine + diphosphate + H+	biotinyl-5'-adenylate // a [biotin carboxyl-carrier protein]-L-lysine // a [biotin carboxyl-carrier protein]-<i>N</i><sup>6</sup>-biotinyl-L-lysine // AMP // H<SUP>+</SUP>
a [protein]-L-serine + ATP  ->  a [protein]-O-(5'-adenylyl)-L-serine + diphosphate	EC-2.7.7.108		ATP // a [protein]-L-serine // a [protein]-<i>O</i>-(5'-adenylyl)-L-serine // diphosphate
(R)-pantothenate + ATP  ->  (R)-4'-phosphopantothenate + ADP + H+	EC-2.7.1.33	coenzyme A biosynthesis	ATP // (<i>R</i>)-pantothenate // H<SUP>+</SUP> // (<i>R</i>)-4'-phosphopantothenate // ADP
2'-deoxyinosine + phosphate  <-->  hypoxanthine + 2-deoxy-alpha-D-ribose 1-phosphate	EC-2.4.2.1	purine deoxyribonucleosides degradation	phosphate // 2'-deoxyinosine // hypoxanthine // 2-deoxy-&alpha;-D-ribose 1-phosphate
3-hydroxyhexanoyl-[acyl-carrier protein] reductase	EC-1.1.1.100	myristate biosynthesis (mitochondria)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxyhexanoyl-[acp] // a 3-oxohexanoyl-[acp] // NADPH // H<SUP>+</SUP>
MCTR1  <-  (13S,14S)-epoxy-maresin + glutathione	EC-4.4.1.20	peptido-conjugates in tissue regeneration biosynthesis	MCTR1 // (13<i>S</i>,14<i>S</i>)-epoxy-maresin // glutathione
an octanoyl-[acp] + malonyl-CoA + H+  ->  a 3-oxodecanoyl-[acp] + CO2 + coenzyme A	EC-2.3.1.41	myristate biosynthesis (mitochondria)	H<SUP>+</SUP> // malonyl-CoA // an octanoyl-[acp] // a 3-oxodecanoyl-[acp] // CO<SUB>2</SUB> // coenzyme A
biotin + ATP + H+  ->  biotinyl-5'-adenylate + diphosphate		a [biotin carboxyl-carrier protein]-L-lysine + biotin + ATP  ->  AMP + a [biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine + diphosphate + H+	H<SUP>+</SUP> // ATP // biotin // biotinyl-5'-adenylate // diphosphate
3-(3,4-dihydroxyphenyl)pyruvate + H+  ->  3,4-dihydroxyphenylacetaldehyde + CO2		(S)-reticuline biosynthesis	3-(3,4-dihydroxyphenyl)pyruvate // H<SUP>+</SUP> // 3,4-dihydroxyphenylacetaldehyde // CO<SUB>2</SUB>
2-oxoglutarate + gamma-butyrobetaine + dioxygen  ->  L-carnitine + CO2 + succinate	EC-1.14.11.1	L-carnitine biosynthesis	&gamma;-butyrobetaine // 2-oxoglutarate // dioxygen // L-carnitine // CO<SUB>2</SUB> // succinate
D-myo-inositol (1,4,5)-trisphosphate + H2O  ->  D-myo-inositol (1,4)-bisphosphate + phosphate	EC-3.1.3.56	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	D-<i>myo</i>-inositol (1,4,5)-trisphosphate // H<sub>2</sub>O // D-<i>myo</i>-inositol (1,4)-bisphosphate // phosphate
an octanoyl-[acp domain within a fatty acid synthase] + malonyl-CoA + H+  ->  a 3-oxodecanoyl-[acp domain within a fatty acid synthase] + CO2 + coenzyme A	EC-2.3.1.85 // EC-2.3.1.86	palmitate biosynthesis (cytoplasm)	H<SUP>+</SUP> // malonyl-CoA // an octanoyl-[acp domain within a fatty acid synthase] // a 3-oxodecanoyl-[acp domain within a fatty acid synthase] // CO<SUB>2</SUB> // coenzyme A
Man8(GlcNAc)2-[protein] (isomer 8A1,2,3B1,3) + H2O  ->  Man7(GlcNAc)2-[protein] (isomer 7A1,2,3B3) + beta-D-mannopyranose	EC-3.2.1.210	protein <i>N</i>-glycosylation processing phase (mammalian)	H<sub>2</sub>O // Man<sub>8</sub>(GlcNAc)<sub>2</sub>-[protein] (isomer 8A<sub>1,2,3</sub>B<sub>1,3</sub>) // Man<sub>7</sub>(GlcNAc)<sub>2</sub>-[protein] (isomer 7A<sub>1,2,3</sub>B<sub>3</sub>) // &beta;-D-mannopyranose
a palmitoyl-[acp domain within a fatty acid synthase] + NADP+  <-  a (2E)-hexadec-2-enoyl-[acp domain within a fatty acid synthase] + NADPH + H+	EC-2.3.1.85 // EC-2.3.1.86	palmitate biosynthesis (cytoplasm)	NADP<sup>+</sup> // a palmitoyl-[acp domain within a fatty acid synthase] // a (2<i>E</i>)-hexadec-2-enoyl-[acp domain within a fatty acid synthase] // NADPH // H<SUP>+</SUP>
2 dehydroascorbate + dioxygen  ->  2 cyclic-2,3-O-oxalyl-L-threonate			dioxygen // dehydroascorbate // cyclic-2,3-<i>O</i>-oxalyl-L-threonate
a CDP-diacylglycerol + sn-glycerol 3-phosphate  ->  CMP + a phosphatidylglycerophosphate + H+	EC-2.7.8.5	cardiolipin biosynthesis	<i>sn</i>-glycerol 3-phosphate // a CDP-diacylglycerol // CMP // a phosphatidylglycerophosphate // H<SUP>+</SUP>
UDP-N-acetyl-alpha-D-glucosamine + Man3(GlcNAc)4-[protein]  ->  a {beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->4)]-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-N-Asn-[protein] + UDP + H+	EC-2.4.1.145	complex <i>N</i>-linked glycan biosynthesis (vertebrates)	Man<sub>3</sub>(GlcNAc)<sub>4</sub>-[protein] // UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // a {&beta;-D-GlcNAc-(1&rarr;2)-[&beta;-D-GlcNAc-(1&rarr;4)]-&alpha;-D-Man-(1&rarr;3)-[&beta;-D-GlcNAc-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc}-<i>N</i>-Asn-[protein] // UDP // H<SUP>+</SUP>
2-oxoglutarate[mitochondrial lumen] + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine[mitochondrial lumen] + H+[mitochondrial lumen]  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine[mitochondrial lumen] + CO2[mitochondrial lumen]	EC-1.2.4.2	2-oxoglutarate dehydrogenase complex // 2-oxoglutarate decarboxylation to succinyl-CoA	H<SUP>+</SUP> // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // 2-oxoglutarate // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-succinyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>
(R)-lactate + NAD+  <-->  pyruvate + NADH + H+	EC-1.1.1.28		NAD<sup>+</sup> // (<i>R</i>)-lactate // pyruvate // NADH // H<SUP>+</SUP>
(17S)-HpDHA + dioxygen  ->  (10S,17S)-diHpDHA	EC-1.13.11.33	docosahexaenoate metabolites biosynthesis // protectin biosynthesis	dioxygen // (17<i>S</i>)-HpDHA // (10S,17S)-diHpDHA
a (3R)-3-hydroxyoctanoyl-[acp]  ->  a (2E)-oct-2-enoyl-[acp] + H2O	EC-4.2.1.59	myristate biosynthesis (mitochondria)	a (3<i>R</i>)-3-hydroxyoctanoyl-[acp] // a (2<i>E</i>)-oct-2-enoyl-[acp] // H<sub>2</sub>O
4-trimethylammoniobutanal + NAD+ + H2O  ->  gamma-butyrobetaine + NADH + 2 H+	EC-1.2.1.47	L-carnitine biosynthesis	H<sub>2</sub>O // NAD<sup>+</sup> // 4-trimethylammoniobutanal // &gamma;-butyrobetaine // NADH // H<SUP>+</SUP>
